-21456,7968,24928,-2733,3798,-24780
-32768,32767,27200,-10732,-2708,-32768
-29608,32767,10164,-24011,-7505,-32768
-13624,32767,6884,-25827,-10522,-32768
30352,18424,-512,-32768,-11291,-32768
20324,-6716,-8532,7616,195,23061
32692,-4832,8016,-14190,-7308,-16378
26240,18652,-536,32767,4390,32767
18212,32767,5532,32767,-15934,32767
-29732,-26288,-8220,18662,-7136,32767
-26600,-30112,32767,24469,-6591,4329
-9764,-23628,29904,2529,1183,-13
-5272,-24256,22300,4067,2447,472
-1708,-21140,16604,2208,5065,-2749
-1880,-13132,14480,20406,12791,-723
-2784,-1876,17160,32767,13115,17309
-12836,10472,19396,21447,-1440,32767
-17816,26412,17948,21905,13049,32767
-15968,7840,17684,-2288,3336,15478
-4680,1772,13772,4578,11034,-5329
