-244,-11060,19684,-2613,-3780,-16570
-5172,-22508,17016,-7346,8285,-4130
-12796,-8160,1500,13802,29867,-1543
-27676,9952,-1308,32767,32767,338
916,4932,-5336,32767,19274,11411
6592,-4152,1036,6383,-4732,19057
-16212,-11936,24260,-31065,-3331,-12176
-2172,-15944,6708,333,-3496,-2550
-888,-18408,5132,3590,-3118,-23
-4812,-15636,12204,-7029,-2900,3608
-5552,-7120,9836,-32768,-17391,8971
-8456,5332,2304,-32768,-27713,21426
-708,13916,12016,-2131,-11166,32767
-11836,3344,15544,15979,13210,27625
980,4944,11440,-749,5897,-9730
-4892,888,14896,-2805,12375,-1989
-4068,884,16072,3703,-2532,-1387
1040,36,17024,507,-1697,-2855
-100,280,17628,1695,-500,-1653
248,-4,17924,763,-1965,-2298
