-1488,16272,16652,2471,-6915,-3797
5340,4060,3640,32767,23908,-24277
-32768,-32768,20988,-8460,32767,-32768
16832,-10596,-8996,-922,23575,-988
5344,6292,-10764,31136,15038,16247
-9560,5588,-2276,20338,9826,27061
-32768,-13988,-32768,-32768,22074,51
14780,-13332,-7472,-19460,-5614,-12732
-5388,-36,10256,15390,-25105,8733
-11196,-1836,12976,-29074,-28994,21440
-16400,3716,-564,-32768,-32768,32767
-12580,7388,-10416,-3984,-6309,32767
-12252,5368,14920,-2685,6479,9112
-3024,364,16644,1372,3390,1030
-584,252,18036,1632,2442,-1264
-60,112,17512,404,2090,-1274
-100,120,17360,428,1586,-976
-564,-32,17612,491,417,-500
-1032,-88,17668,-88,372,520
-924,80,17188,233,344,-714
