-13316,16616,11444,8401,19667,32767
-21108,708,12392,-2307,13672,7111
-9480,3428,16232,1462,3359,-7228
-6612,-1136,15428,1913,5770,-3959
-5480,-188,13752,560,3781,-2221
-13208,13276,15000,4840,-2112,-6738
-2928,10076,32444,5312,-24926,-28251
15976,-32768,32767,-14769,10341,-2064
-7172,-17592,22936,-9740,32767,11773
-32768,8168,-32768,-12286,26045,5932
-15880,21476,-10980,32767,32767,-29268
-14712,1240,7648,32767,18683,-914
-1068,8652,32767,-14108,24292,-29212
-1504,-22136,9756,-8292,7058,2393
-6868,-18056,4828,-80,1062,1248
-5812,-17872,3280,-1691,2378,663
-5728,-18432,3068,-719,39,-44
-5684,-18088,3760,-76,996,-1076
-5984,-17752,4336,85,-72,-741
-5616,-18088,4376,198,394,-733
