412,-6180,2416,-32768,3273,-28789
14640,-3732,864,-32768,550,-32768
18780,-4716,-2808,333,-2793,28104
18840,4432,-9868,-6005,-9323,24230
9424,5540,-8208,32767,-1645,32767
10936,32767,6452,32767,-32768,32767
-12172,-15016,32767,-27830,32767,10667
-5420,-16120,32767,-1128,11426,-3515
-5248,-15616,32767,1775,-9754,3055
-3224,-16344,30004,-1761,5021,-13195
-2272,-15120,29652,3007,-784,-5485
-1260,-12860,24904,7415,4096,-8781
-4712,-8232,26376,22652,21079,4910
-11680,1216,32104,32767,18386,23340
-16436,9756,31632,23185,10393,26531
-8468,10836,23980,15017,9271,20935
-7536,7292,23736,12445,1965,17614
-2312,2876,18164,4559,-2602,9435
-1464,412,16556,1281,8786,-3867
-1240,648,17748,174,4966,-4048
