-32768,29372,32767,-32768,25013,-32768
-20124,21008,-1460,-32768,29367,-32768
-6516,-784,-2840,-4075,32767,-29307
-2180,2876,-860,32767,11522,30317
-1604,28320,28588,32767,-32768,32767
-16524,4020,32767,28899,30974,2473
10588,-5932,32767,-12528,7785,-7716
3164,-3932,32767,-13812,-1407,-6028
1996,-7924,20968,-8938,340,-7846
300,-16424,16408,5729,7321,5002
-6184,-7036,15252,20416,17365,32767
-32768,12268,25204,6623,32767,32767
-25120,9544,20548,6934,8020,32517
-13692,5996,19816,6258,11159,17117
-10748,3216,21360,7592,-1767,11085
-3416,1128,20296,1713,-280,750
-1532,772,18032,-634,-1291,-1024
480,-176,16668,-694,979,-2611
960,412,17004,-784,-718,-945
-76,-40,17068,964,-2301,196
