-14092,2272,12956,1142,32767,-32768
-27700,10840,5240,-20245,4506,-32768
-32768,-4520,4092,30358,23142,-32768
-10980,3588,19748,22293,-6549,-32768
10820,-10460,7972,-5554,-14372,-32768
9468,-17172,10968,8849,24921,13694
7840,-28808,15604,26100,-9512,13019
-416,-8904,11612,32767,21891,32767
-5460,-5200,26572,32767,-21398,32767
-2596,-2048,32767,12293,5753,-4653
96,-6052,23120,9127,9252,-4564
-2912,-4280,18632,31518,-10310,5921
348,16912,19984,32767,26322,1978
-6856,17448,15560,24605,32767,9814
-10236,4100,15356,-1904,21003,365
-5768,652,15884,4716,26220,-14697
-2480,2768,18080,-14738,-26040,6156
1192,-2324,9716,6312,-2986,7175
-596,672,16696,-1637,7620,-5655
1684,420,16024,109,8374,-7147
