3736,-2496,17504,-4804,7393,-16557
-5308,-24136,18940,-6796,3614,-4479
-3688,-19912,11500,1421,16100,-2847
-27964,11424,-16372,20667,32767,10478
5324,14580,9964,32767,11404,23942
-604,3868,8424,32767,2349,25151
384,-5784,8020,19822,-4945,14792
-4808,-11888,11964,-7787,1711,4869
-1164,-13804,8372,10132,-6322,-1492
-5168,-9216,15884,-20547,-13315,-1813
-8804,6292,-752,-32768,-32768,13277
-7936,760,-8840,-15902,-13838,32767
-9740,8392,14616,-1116,-5708,23103
-8432,3416,13244,7322,11307,11307
-5912,1196,16180,7872,7651,-3470
-2496,948,17232,-1999,370,-1450
-2008,740,18436,-261,-2196,1263
-1260,600,15408,-2721,-3592,-524
-1076,4,15284,276,644,-1377
-1208,168,15652,-251,-927,-379
