-32768,12860,32767,-32768,32767,-32768
-32768,20416,21924,-32768,4959,-32768
11232,2136,-12068,-32768,27060,-32768
1644,-10268,-14876,-3749,32767,9089
-596,11664,-3556,32767,6888,32767
-40,30412,32767,32767,-17933,29551
-5632,-5844,32767,13637,14673,-1845
4220,-10848,32767,-3175,-574,859
252,-8964,32767,-4770,-236,-5956
4304,-6076,23972,-10203,4856,-12964
6720,-15084,17328,-2697,7254,-4497
-1888,-16316,22524,6117,9984,23563
-17760,-1316,21536,14677,8282,32767
-26004,7408,24240,14541,13742,32767
-18940,6268,26292,15800,6066,20811
-8496,4816,24072,8967,-28,15061
-5920,2240,23348,4019,-389,2247
-712,-240,19916,-1521,893,-2574
-320,928,18796,-1687,353,-1971
-60,196,18200,-1024,600,-1194
